Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-PABA-4614;19;16;37;44;24;09;skyware;35774-000;" RUA JOSE DALLE - CENTRO";;;PARAOPEBA;"SL 4033";;;Lider
SES-PEDO-5528;19;37;12;44;02;37;skyware;33600-000;"RODOVIA MARIA DA PEIEDADE COSTA";" S/N ";" FAZENDA RENASCER";"PEDRO LEOPOLDO";"SL 2000";;;Vodanet
SES-PEES-0838;19;20;12;47;17;98;skyware;38170-000;"Rua VIRGILIO MACHADO DE CASTRO";" 296 ";" DIVINEIA";PERDIZES;"SL 4033";;;Lider
SES-PIHO-4315;22;24;15;45;32;14;skyware;37508-000;"RUA OLEGARIO MACIEL";" 199 ";" SANTA EFIGENIA";PIRANGUINHO;"SL 2000";;;Lider
SES-PIRA-3469;17;20;35;44;56;22;skyware;39270-000;"Rua Rio Grande do Sul";" 1144";;PIRAPORA;"SL 4033";;;Lider
SES-PIUI-3886;19;51;22;43;55;45;skyware;35650-000;"Praça Antônio dos Santos";45;;PITANGUI;"SL 4033";;;Lider
SES-PIUI-4129;19;41;12;44;53;21;skyware;35650-000;"Rua Honor Caldas";" s/n";;PITANGUI;"SL 2000";;;Lider
SES-PIUI-4136;19;40;54;44;53;36;skyware;35650-000;"Praça João Maria de Lacerda";" 80 ";" Lavrado";PITANGUI;"SL 2000";;;Lider
SES-PIUI-4130;19;41;16;44;52;57;skyware;35650-000;"Rua Fortunato Lopes";" 46  Fundos";;PITANGUI;"SL 4033";;;Lider
SES-PODO-4326;21;46;35;46;58;01;skyware;37757-000;"Rua Professor Sebastião Teotônio de Paiva";" 22  ";" Nova Gimirim";"POÇO FUNDO";"SL 2000";;;Lider
SES-PODO-4325;21;51;27;45;53;53;skyware;37758-000;"Praça Vereador Joaquim Francisco da Costa Sobrinho";" 342   Distrito Paiolinho";;"POÇO FUNDO";"SL 2000";;;Lider
SES-PODO-4331;21;47;18;45;57;56;skyware;37757-000;"Praça Tancredo Tancredo Neves";" 514 ";" centro";"POÇO FUNDO";"SL 2000";;;Lider
SES-PODO-4324;21;46;17;45;57;58;skyware;37757-000;"Rua Jairo Elias de Araújo";" 74 ";" centro";"POÇO FUNDO";"SL 2000";;;Lider
SES-RIES-4398;19;07;08;43;08;05;skyware;33925-140;"Rua Vinte e Nove";" nº 55";;"RIBEIRÃO DAS NEVES";"SL 2000";;;Lider
SES-RIBA-4463;20;00;19;43;05;40;skyware;35940-000;"Rua Vicentina Machado";" 1";;"RIO PIRACICABA";"SL 2000";;;Lider
SES-RIBA-4462;19;54;22;43;05;39;skyware;35940-000;"Avenida José Maria de Andrade";" 1";;"RIO PIRACICABA";"SL 4033";;;Lider
SES-RIBA-4461;19;54;02;43;08;54;skyware;35940-000;"Avenida Nossa Senhora Auxiliadora";" 163";;"RIO PIRACICABA";"SL 2000";;;Lider
SES-RIBA-4460;19;57;17;43;10;41;skyware;35940-000;"Praça Leão XIII";" 10";;"RIO PIRACICABA";"SL 2000";;;Lider
SES-RIBA-4459;19;55;39;43;10;03;skyware;35940-000;"Avenida Dom Joaquim Silvério";" 210";;"RIO PIRACICABA";"SL 4033";;;Lider
